GENE	RNAseH-Rep1	RNAseH-Rep2	RNAseH-Rep3	PolyA-Rep3	RZ-Rep1	RZ-Rep2	RZ-Rep3
FBgn0039582		0	0	0	0	0	0	0
FBgn0039584		0.0657265	0.0869439	0.0449724	0.0624343	0.0692238	0	0.077536
FBgn0030480		112.814	115.783	112.331	138.152	134.977	134.173	152.715
FBgn0263020		0	0	0	0	0	0	0
FBgn0039585		0.179245	0.121734	0.183969	0.297967	0.193846	0.274237	0.108561
FBgn0030481		48.7228	50.4851	52.4162	63.6258	48.3195	48.206	48.2924
FBgn0025185		27.3527	27.3693	25.8276	30.544	21.4296	22.2261	22.567
FBgn0263021		0	0	0	0	0	0	0
FBgn0030482		24.9848	26.7815	26.5318	18.8441	17.4469	20.2113	20.319
FBgn0025186		52.2509	49.3795	49.9635	58.1865	35.0457	38.1566	37.2888
FBgn0263022		0	0.112495	0	0	0	0	0.200645
FBgn0030483		0.354931	0.361574	0.546427	0.189648	0.503793	0	0.886737
FBgn0263023		0	0	0	0.374497	0.14212	0	0
FBgn0051423		0	0.0461644	0	0	0	0	0
FBgn0039588		13.9241	13.4229	14.5834	14.1315	14.3843	13.3213	13.6527
FBgn0030484		24.4708	20.9812	21.654	18.5074	18.4512	18.3353	18.6457
FBgn0263024		0	0	0	0	0	0	0
FBgn0051424		0	0	0	0	0	0	0
FBgn0039589		41.9215	45.2366	43.4832	52.4973	41.9633	44.8382	41.825
FBgn0030485		1.68884	2.60652	3.45668	2.39048	2.44763	2.40641	1.88271
FBgn0263025		12.1435	13.7929	11.6914	12.3203	13.4687	12.3719	12.8859
FBgn0030486		91.157	82.1167	88.062	61.4907	16.674	18.6215	16.2015
FBgn0263026		0	0	0	0	0	0	0
FBgn0264810		0	0	0	0	0	0	0
FBgn0263027		12.9725	15.5441	16.0283	17.6385	16.0605	17.4819	19.5398
FBgn0029067		42.4004	49.2694	49.4587	54.986	43.8578	48.7501	46.8167
FBgn0263029		0.13411	0.409861	0.550578	0.573267	0.543879	1.1285	0.487349
FBgn0261790		349.88	352.012	348.091	385.038	310.998	349.884	325.741
FBgn0261791		427.892	406.35	459.558	454.908	497.445	536.219	520.222
FBgn0021750		37.139	33.2289	37.5892	33.0637	35.368	34.758	37.5875
FBgn0264815		1.3731	1.57411	1.43224	0.963191	1.0165	1.04286	0.944716
FBgn0261792		70.6748	66.9426	80.5628	67.599	39.151	42.2164	40.9833
FBgn0034371		44.7724	42.8764	42.6157	45.9685	49.4974	48.5985	47.73
FBgn0264816		82.7276	81.9306	80.1001	93.2711	39.3454	40.6309	34.0454
FBgn0261793		82.2167	90.4087	89.5411	75.923	29.056	34.7191	29.6949
FBgn0034372		28.5627	26.3282	26.6329	33.4582	33.7838	32.6468	34.991
FBgn0264817		0.408653	1.09473	0.700939	1.24253	0.798925	1.60114	0.927912
FBgn0261794		23.6036	23.756	24.4209	27.9499	10.0061	12.1489	11.604
FBgn0038250		0.891755	0.908447	1.22034	0.794144	0.843845	1.02326	1.0802
FBgn0261797		113.453	108.156	105.723	33.8245	72.5573	77.3625	74.3909
FBgn0038251		64.1696	68.6534	73.3799	86.6739	93.2563	94.9959	95.85
FBgn0038252		417.6	383.746	405.839	552.64	422.786	436.059	421.415
FBgn0034377		1.69678	0.930753	0.803767	0	0.317595	0.299538	0.948616
FBgn0261799		2.10913	2.66353	2.48372	1.69242	1.33254	1.52852	1.29086
FBgn0034379		12.1972	11.3729	11.8012	13.863	11.5403	12.6916	12.168
FBgn0052296		29.1049	26.7701	31.0215	24.2954	8.61804	10.4083	8.54423
FBgn0038256		99.9471	97.0303	97.4664	101.561	96.5198	98.9715	100.764
FBgn0052298		0.381682	0.486366	0.878138	0	0.331305	0.541747	0.279063
FBgn0038257		3.35962	4.10936	4.4463	2.45649	2.58761	2.84056	3.27225
FBgn0025640		44.5197	40.2289	41.5321	38.5101	34.5264	34.9755	35.3984
FBgn0052299		2.90777	0.846099	1.93399	0	0.90472	1.04964	2.24228
FBgn0038258		1.37173	1.73157	1.56091	0.276184	0.846545	1.07216	0.894013
FBgn0011241		48.712	46.0512	48.1612	62.5608	60.5687	66.9005	68.5356
FBgn0025641		57.6257	55.2709	59.664	40.4367	31.4036	35.01	33.7948
FBgn0025642		0.156945	0.286835	0.403714	0.267461	0.456749	0.143593	0.255797
FBgn0025643		1.02812	0.808203	0.9308	0.0342531	0.269587	0.168538	0.240236
FBgn0030940		0.0985804	0.0627661	0.101178	0.035116	0.00999474	0.00942647	0.0335846
FBgn0011244		0.511505	0.26054	0.262493	0	0.0592684	0.0838479	0
FBgn0025644		1.64405	1.14593	0.976903	0.0616461	0.491281	0.132385	0.235831
FBgn0030941		6.29714	8.52969	7.19292	7.13575	4.99595	5.03476	5.30742
FBgn0025645		1.20997	1.23262	1.15316	0.0615733	0.0701001	0.264458	0.31407
FBgn0029521		0.814959	0.301896	0.608317	0	0.480733	0.396725	0.403843
FBgn0030943		69.7452	68.889	76.0005	73.5043	57.343	53.9837	52.8892
FBgn0029522		130.621	147.421	125.767	148.906	139.75	145.502	146.086
FBgn0030944		88.4652	89.1202	86.5418	101.624	101.129	93.3103	96.5719
FBgn0030945		25.289	21.0718	25.669	20.4272	20.8229	18.625	22.436
FBgn0029524		10.3958	6.87674	4.23712	10.1375	6.3673	9.51894	8.05156
FBgn0033041		0.745508	1.3118	1.04339	1.40024	0.989471	1.14059	0.861998
FBgn0030946		33.0869	30.234	29.7705	29.139	23.395	24.0691	25.9935
FBgn0029525		47.5576	49.4916	47.3603	38.2112	50.567	52.1516	52.2895
FBgn0033042		0.373843	0	0.408362	0.0532676	0.0606442	0.45757	0.475483
FBgn0030947		0.275555	0.374284	0.377089	0.0655998	0	0.140529	0.250338
FBgn0033043		0	0	0.300507	0.0521485	0.11874	0	0.0664991
FBgn0030949		0.0524274	0	0	0	0	0	0
FBgn0029529		50.2319	48.4264	50.8013	51.149	81.6843	78.727	82.143
FBgn0260470		0.0403341	0.102723	0.158562	0.043103	0.0626532	0.147918	0.0549644
FBgn0033047		6.8526	6.60855	6.84564	7.71359	6.66972	6.11576	6.51602
FBgn0033048		0.582666	0.831001	0.717625	0.830221	0.693141	1.01031	0.988109
FBgn0260474		0.2687	0.545041	0.22095	0.284144	0.34848	0.244845	0.387704
FBgn0034833		0.537537	0.985678	0.668569	0	0.348794	0.411204	0.0976691
FBgn0016917		116.527	123.701	123.105	117.625	86.9833	97.6714	96.0615
FBgn0260475		0	0	0	0	0	0	0
FBgn0052750		0.455842	0.619166	0.519839	0.396925	0.410811	0.619926	0.506154
FBgn0034834		0	0	0	0	0	0.046273	0
FBgn0052751		0	0	0	0	0	0	0
FBgn0034835		0	0	0	0	0	0	0.0603416
FBgn0016919		0.413273	0.240576	0.333272	0.407621	0.430975	0.338726	0.555746
FBgn0260477		2.82509	3.23772	3.50362	0.0838621	1.24118	1.44075	2.03186
FBgn0034837		0.0709271	0	0	0	0	0.0542576	0.128873
FBgn0260479		0.452792	0.293453	0.243689	0.200903	0.382933	0.215105	0.244006
FBgn0034838		0.287329	0.439061	0.221176	0.409406	0.349576	0.16485	0.326293
FBgn0052755		0.0638131	0	0	0	0	0	0
FBgn0038714		0.238697	0.16211	0.244988	0	0.0645352	0.060866	0.144569
FBgn0034839		0.89343	1.59277	2.29244	1.59127	1.26815	1.70863	1.2175
FBgn0024314		64.8579	60.7425	62.5055	68.0244	64.4669	61.9249	65.7597
FBgn0052756		39.6466	48.0069	44.0378	25.2919	50.756	50.9549	52.8336
FBgn0038715		0	0	0.051191	0	0.0396272	0	0
FBgn0024315		36.1266	39.7983	36.1461	37.0024	15.2919	20.1499	17.9174
FBgn0038716		0.0756407	0.154113	0.194085	0.0269445	0.0613517	0.115727	0.0343593
FBgn0003380		0.26537	0.275789	0.222651	0.124691	0.182424	0.11363	0.0974353
FBgn0264361		0	0	0	0	0	0	0
FBgn0052758		56.1162	57.5619	60.2116	55.9841	44.9747	51.7567	48.7656
FBgn0038717		1.34793	1.14861	1.34166	1.4478	1.44555	1.44507	2.00617
FBgn0264362		0	0	0	0.0891701	0	0	0
FBgn0038718		5.74488	6.7089	5.9367	6.75126	6.82503	7.17043	6.12996
FBgn0003382		0	0.013144	0.0132425	0	0.0104651	0	0
FBgn0011701		0.130905	0.479917	0.107485	0.0932295	0.275965	0.420443	0.213993
FBgn0264363		0	0	0	0	0	0	0
FBgn0038719		1.9365	1.02747	2.40074	1.49459	1.37434	1.14189	1.28281
FBgn0024319		0.704266	0.607072	0.667224	0.192978	0.307583	0.372979	0.566683
FBgn0264364		0.114255	0	0.0434288	0.0428268	0	0	0
FBgn0011703		255.804	253.473	251.423	319.326	188.504	205.764	200.566
FBgn0011704		532.97	513.294	509.106	558.291	469.576	499.79	498.85
FBgn0003386		0.490467	0.665135	0.442202	0.479847	0.224826	0.342535	0.34988
FBgn0011705		64.9913	83.9308	78.3741	108.451	96.3064	109.32	106.516
FBgn0011706		0.417753	0.31918	0.535953	0.223216	0.169418	0.0798929	0.0948808
FBgn0003388		0.817174	0.988558	0.733871	0.982431	1.02995	0.859539	0.974389
FBgn0011708		70.9458	74.8415	79.6181	95.4046	67.9546	74.5168	73.9941
FBgn0033500		0	0	0	0	0.0329405	0	0
FBgn0033501		0.0533837	0	0	0	0	0.0408373	0
FBgn0033502		1.70317	1.19015	1.65478	1.90625	1.37345	1.37687	1.02763
FBgn0033504		13.3955	14.0751	16.2031	14.5291	7.56266	7.29729	9.40128
FBgn0039590		14.5386	12.9814	13.5137	7.78263	7.52112	8.38711	8.3937
FBgn0039591		0	0	0	0	0	0.0539846	0
FBgn0033507		88.5321	82.5613	90.3228	100.29	103.603	101.486	101.478
FBgn0260932		4.87966	8.23961	6.44899	8.14343	7.59042	8.02814	7.2873
FBgn0039592		0	0	0	0	0	0	0
FBgn0033508		0.553496	1.12771	0.946804	0.262886	0.748228	1.55251	0.670458
FBgn0260933		2.9355	2.17298	2.385	2.20792	2.42948	2.11567	2.02679
FBgn0039593		0	0.0735379	0	0.154284	0	0	0.0655806
FBgn0260934		146.989	154.521	156.901	157.744	113.332	118.196	120.528
FBgn0039594		10.8163	12.0615	12.3927	10.2022	11.4966	12.6096	12.3476
FBgn0263030		0	0.0486614	0	0.0680619	0.138796	0	0.155462
FBgn0260935		18.032	16.5729	17.3379	14.4646	16.4853	17.0228	18.3367
FBgn0039595		0.203968	0.5818	0.62803	0.456303	0.328038	0.270053	0.481785
FBgn0263031		3.06358	1.93738	3.43017	2.51137	2.71075	2.13052	3.03624
FBgn0260936		79.9235	76.5158	78.2121	65.7467	44.0518	47.3856	46.0463
FBgn0051431		3.78855	4.03806	3.11486	2.59573	3.24897	4.51128	3.18974
FBgn0039596		0	0.031101	0.0626681	0.0217502	0	0.0233544	0
FBgn0030492		0.0913928	0	0	0	0	0	0
FBgn0263032		0.441568	0.857387	0.345525	0.0589852	0.409586	0.42922	0.254871
FBgn0039597		0	0	0	0	0	0	0
FBgn0030493		0	0	0	0	0	0	0
FBgn0263033		0.441568	1.46643	1.54977	0.0589852	1.00009	0.817211	0.929339
FBgn0260938		47.6896	48.2858	52.5628	16.9912	12.9035	16.3172	13.864
FBgn0039598		0	0	0	0	0	0	0
FBgn0030494		0	0	0	0	0	0.0851173	0
FBgn0263034		0	0	0	0	0	0	0
FBgn0039599		0	0	0	0	0	0	0
FBgn0030495		0	0	0	0	0	0	0
FBgn0263035		0	0	0	0	0	0	0
FBgn0263036		0	0	0	0	0	0	0
FBgn0051436		0.974275	0.372192	0.187491	0.477197	0.839617	0.698717	0.885115
FBgn0263037		0	0.0817022	0.0411573	0	0.0325252	0.0306759	0
FBgn0051437		2.02126	2.63107	1.84403	0.0800008	0.637557	0.859011	0.408065
FBgn0263038		11.0988	11.2884	12.231	9.93461	4.38566	5.51054	4.20129
FBgn0051438		0	0	0	0	0	0	0
FBgn0030499		31.0675	31.5703	32.8901	30.6238	28.4972	27.9796	28.3881
FBgn0051439		0.845665	0.574675	0.867951	0.0200827	0.137183	0.0431276	0
FBgn0029079		86.4628	87.6365	94.1819	119.902	152.246	156.399	159.91
FBgn0034380		20.4562	22.3575	20.9856	25.4813	25.8659	25.7113	27.2999
FBgn0021760		59.2435	58.0068	58.5445	59.3099	49.6492	54.115	52.2678
FBgn0034381		0.449819	0.458238	0.461673	0.281497	0.182422	0.344101	0.319077
FBgn0021761		94.3806	96.0976	97.7985	104.538	65.3622	76.9386	73.8009
FBgn0034382		1.48454	1.89041	1.9998	2.24747	1.8814	1.98736	3.11883
FBgn0034383		0	0	0	0	0	0	0
FBgn0021764		61.7657	60.1401	62.3021	50.2079	45.5093	49.3303	47.0763
FBgn0264829		0	0	0	0	0	0	0
FBgn0038260		0.66043	0.967139	0.381282	0.852803	0.602629	0.694669	0.71249
FBgn0021765		377.701	322.777	330.078	291.082	275.3	254.313	273.036
FBgn0002069		172.171	152.181	155.223	163.26	157.65	158.4	161.113
FBgn0038261		0.162721	0	0	0.0289819	0	0.0622388	0
FBgn0038262		0.508486	0.358619	0.281016	0.222931	0.348979	0.254893	0.355349
FBgn0034387		1.85047	1.50809	1.94672	1.68088	2.06374	2.97269	2.73183
FBgn0021767		0.357998	0.287123	0.130983	0.0648217	0.103804	0.0585756	0.103325
FBgn0021768		147.381	139.867	148.804	188.596	138.871	150.665	149.14
FBgn0034389		40.9682	39.7103	41.0216	48.9726	29.9164	32.443	30.1323
FBgn0050100		24.9011	21.9149	23.3645	26.2956	31.3115	30.2639	33.6657
FBgn0050101		1.41482	1.33043	1.39625	1.3181	0.794457	0.790913	0.840416
FBgn0038266		1.66446	1.79536	1.10539	0	0.595602	0.44939	0.311323
FBgn0050103		0	0	0.0412251	0	0	0	0
FBgn0038268		13.6915	14.9523	14.211	19.5456	12.3602	13.5966	13.5684
FBgn0050104		12.5161	15.2167	12.6753	14.6936	13.6256	14.331	14.8084
FBgn0038269		56.6775	56.1883	62.3405	57.3221	56.1214	60.2168	58.2496
FBgn0050105		47.6635	53.4118	48.7911	64.3652	65.6848	60.3604	71.2949
FBgn0050106		0.269701	0.305278	0.276809	0.192144	0.291671	0.160468	0.299469
FBgn0030951		0	0	0	0	0	0	0
FBgn0050108		9.98942	16.9607	13.4566	21.0539	11.3095	11.9401	12.1003
FBgn0030952		0	0	0	0	0	0	0
FBgn0029531		0.465944	0.95329	0.844949	0.280706	0.319579	0.452113	0.536929
FBgn0050109		112.82	101.979	104.949	105.255	131.306	127.128	125.923
FBgn0029532		1.39408	0.873954	0.440252	0.229197	0.434896	0.410169	0.340982
FBgn0030954		0.1442	0.183624	0.111	0.128416	0.0877199	0.137887	0.196506
FBgn0043575		0.13411	0.13662	0.275289	0	0.326327	0.102591	0.121837
FBgn0033050		64.4991	69.6079	66.2768	78.7466	69.5685	71.6465	71.1702
FBgn0030955		59.1869	65.6749	64.3171	64.3772	81.7795	77.6912	86.194
FBgn0011259		10.0902	11.2524	11.5819	10.4201	3.86307	4.90495	4.66178
FBgn0061492		44.9645	54.6638	51.6738	67.7261	46.0078	47.7628	48.1469
FBgn0043576		0	0.192317	0.510497	0.134495	0.153121	0	0
FBgn0033051		5.70396	5.54488	5.70122	5.81665	4.62644	5.01933	5.41906
FBgn0030956		63.7133	72.7637	64.7318	70.2419	74.7614	75.7092	75.7186
FBgn0029535		0.532791	0	0.273416	0	0.216072	0	0.242017
FBgn0043577		0	0	0	0	0.126922	0	0
FBgn0033052		38.9558	39.5483	41.2978	33.1257	25.3354	28.284	28.3776
FBgn0043578		0	0.529163	0.533129	0.370066	0.561752	0.132453	0.786507
FBgn0016920		0.0731713	0.0372705	0	0.0173765	0.0186627	0.0279872	0.0412403
FBgn0033054		0.0512882	0.104497	0.0526398	0.0730788	0	0.0784685	0.0868004
FBgn0030959		77.2135	62.4827	69.3509	70.4445	75.7505	79.1134	77.4904
FBgn0002521		65.9015	102.792	93.1696	161.868	100.899	116.652	109.253
FBgn0033055		38.9271	36.9988	40.9518	48.0611	49.3493	51.0995	47.4594
FBgn0002522		0.267634	0.231606	0.325184	0.0809858	0.0856609	0.0807905	0.0959468
FBgn0029539		0.168754	0.171913	0.337831	0.241142	0	0.251797	0.153311
FBgn0260480		0.375377	0.688326	0.924647	0	0.243573	0.516879	0.068205
FBgn0033056		0	0	0.0750354	0	0	0	0
FBgn0260481		0.26857	0.136799	0.505355	0.0956691	0.18153	0.445142	0.325323
FBgn0034840		0	0	0.076739	0	0	0	0
FBgn0002524		81.3207	80.3517	81.6212	89.1639	76.4036	81.2713	77.4504
FBgn0020440		32.5429	36.0906	34.6377	39.2484	32.2322	35.627	37.2536
FBgn0260482		2.62176	1.66025	2.47268	1.26205	2.01155	2.00559	2.1923
FBgn0034841		0	0	0.0565653	0	0	0.0421601	0.0500693
FBgn0033058		0.0571483	0.029109	0	0.0245927	0.0231763	0.052813	0
FBgn0002525		128.394	130.137	135.885	150.335	109.028	114.831	114.127
FBgn0034842		0	0	0	0	0	0	0
FBgn0033059		65.7161	66.9462	62.3121	71.5161	70.4661	77.9437	73.1763
FBgn0002526		38.9023	37.892	37.5224	25.6148	23.4701	26.7537	25.299
FBgn0016926		98.3686	115.929	109.405	108.443	99.5393	105.187	103.881
FBgn0260484		75.2864	68.3372	67.1699	93.5134	53.6748	62.9686	60.8677
FBgn0020443		281.116	282.496	271.057	271.355	225.546	251.546	245.704
FBgn0034844		0.0276352	0	0	0.0196882	0.0224147	0.0211403	0
FBgn0260486		12.1573	12.5018	12.8496	8.44437	9.14707	10.6327	9.91381
FBgn0038720		12.1796	12.2384	11.4493	12.7197	11.1645	11.1243	11.9798
FBgn0024320		22.8124	27.5474	26.2169	30.7463	26.2493	27.0708	26.2752
FBgn0020445		80.7884	80.3086	80.3022	72.2995	40.062	49.0561	43.6251
FBgn0260487		0	0	0	0	0.01227	0	0
FBgn0052762		0	0	0	0	0	0	0
FBgn0038721		18.0857	18.3882	18.0486	17.9215	13.0723	14.1409	13.1876
FBgn0034846		0	0	0	0.0558352	0	0	0.119872
FBgn0024321		6.08606	6.25354	6.43704	4.854	3.9479	4.11338	3.59269
FBgn0038722		58.2322	59.5063	63.3835	60.0252	26.3091	28.0618	27.5392
FBgn0038723		75.0784	71.0155	75.2683	76.6318	94.8207	83.8301	96.4534
FBgn0034849		31.7536	29.2569	35.1622	29.3545	39.667	36.2524	38.692
FBgn0038725		0.115931	0.165342	0.0475948	0.0983641	0.075225	0.070948	0.147451
FBgn0052767		74.1248	83.71	89.2532	71.6818	50.038	59.241	53.4867
FBgn0003390		1.95737	2.14885	1.69431	1.72115	1.65648	1.82409	1.86499
FBgn0024326		70.2524	73.2348	71.1347	93.5749	73.6263	78.2045	75.6902
FBgn0038727		0.0268937	0.0547941	0.0828072	0.0191599	0.0218133	0.0617191	0.0244325
FBgn0003391		67.1758	65.3073	67.3957	49.7585	29.3105	34.9478	33.2268
FBgn0011710		125.646	122.69	120.295	140.523	90.7416	104.241	98.6732
FBgn0003392		70.0735	75.8332	73.7205	76.0265	64.7125	73.4481	66.8728
FBgn0024329		81.1479	78.5984	81.872	63.3711	61.5302	64.4872	63.3303
FBgn0003396		25.0881	26.0173	27.849	16.2734	8.83226	11.3029	9.11858
FBgn0011715		117.11	113.061	110.997	105.624	87.2461	91.264	87.4697
FBgn0264377		0	0	0	0	0	0	0
FBgn0033512		0.37799	0.264134	0.324136	0.112445	0	0.0330572	0.0477814
FBgn0033515		0.657597	0.589517	0.593936	0.0374795	0.213349	0.201219	0.119484
FBgn0260940		28.5524	25.1617	29.5077	28.3657	36.3808	36.504	39.7619
FBgn0033516		0	2.20301	1.10976	0	0	0.413572	1.47348
FBgn0260941		28.4479	28.7557	31.0458	34.8013	9.46642	9.65802	9.68217
FBgn0260942		18.88	18.949	20.6295	21.7993	23.5208	20.959	22.0993
FBgn0033518		8.22323	8.6296	6.18373	8.12244	6.12837	5.16903	4.61637
FBgn0260943		1.43081	2.20985	1.3496	1.95222	0.730702	0.967995	1.37156
FBgn0033519		42.3279	53.4431	49.1555	60.7184	50.9082	60.2973	42.4715
FBgn0260944		178.071	198.783	186.296	197.709	148.774	165.83	150.175
FBgn0263040		0.113336	0	0	0	0.0919261	0	0
FBgn0260945		57.9249	57.7843	61.391	64.0539	47.8835	54.7369	51.6277
FBgn0263041		0	0	0	0	0	0	0
FBgn0051441		12.5507	11.9925	11.28	17.3344	3.60781	3.12737	3.52397
FBgn0023000		13.9371	16.5829	15.4628	21.6433	15.4883	16.9828	16.5776
FBgn0263042		0.351281	0.119283	0.479618	0.0417107	0.0474865	0.0895726	0.0531884
FBgn0029082		0.166372	0.268523	0.341587	0.138286	0.0899731	0.117477	0.113385
FBgn0023001		2.79357	2.4399	2.58856	2.02266	1.0452	0.993922	1.14184
FBgn0020906		0	0.111988	0.338482	0	0.356655	0.0840942	0.199741
FBgn0037402		0.106457	0	0	0	0	0	0
FBgn0020907		0.337928	0.206552	0.138734	0.288902	0.219273	0.465313	0.122801
FBgn0029084		2.69629	1.67486	1.28243	0.281111	0.906782	0.704303	1.07541
FBgn0020908		0.560253	1.6171	1.34171	1.6631	1.51473	2.57148	2.96907
FBgn0051445		0.439115	0.395158	0.397665	0.220828	0.230458	0.244941	0.422396
FBgn0020909		69.1395	59.3946	58.2704	53.3305	71.8776	69.2149	70.4827
FBgn0263046		1.4815	2.4858	1.34166	0.682953	1.41369	1.73331	1.4251
FBgn0051446		1.75099	2.3412	2.1341	4.52206	2.99898	2.84637	2.28671
FBgn0037405		39.515	40.432	39.9132	37.3538	27.5887	31.9326	29.921
FBgn0264830		0	0	0	0	0	0	0
FBgn0263047		14.8991	16.6256	17.3515	22.2018	15.1004	12.1163	14.0614
FBgn0037406		0	0	0	0	0	0	0
FBgn0263048		10.6723	11.0472	12.0097	13.9747	6.36761	9.22091	7.59076
FBgn0029088		31.8217	31.8445	31.073	32.4537	20.8434	23.7812	21.8419
FBgn0264832		0	2.36737	1.19256	0.413901	0.942439	0.444427	0.527802
FBgn0037408		0.163861	0.123667	0.250742	0.186784	0.132906	0.121592	0.146762
FBgn0037409		0.0903817	0.153456	0.123685	0.0643909	0	0.0230466	0.0273702
FBgn0034390		158.042	144.486	150.107	138.743	106.728	108.336	107.174
FBgn0042710		0	0	0	0	0	0	0
FBgn0034391		0.533802	0.571681	0.618109	0.585074	0.144321	0.157056	0.124347
FBgn0264836		0.466329	0.950115	0.957236	0	0	0.814653	0
FBgn0042711		0.0559987	0.0570469	0	0	0	0	0
FBgn0034392		15.7983	17.0624	16.2277	15.5586	18.6694	17.3988	19.7161
FBgn0042712		32.0591	30.7402	33.4511	30.3857	29.0587	28.1406	29.997
FBgn0034394		5.96399	4.14462	4.41294	2.94888	4.86671	3.60741	4.26196
FBgn0038271		352.278	309.914	318.313	317.034	298.214	287.31	295.936
FBgn0034396		1.36995	0.895944	1.14371	0.423869	0.60843	1.00753	0.798996
FBgn0021776		0.193078	0.332184	0.334673	0.0387183	0.198361	0.249444	0.123433
FBgn0038272		26.2032	25.7261	25.5175	30.848	27.8241	30.2169	30.556
FBgn0034397		0.226387	0.15375	0.39031	0.0602066	0.244829	0.346363	0.274227
FBgn0038273		6.25374	3.12725	5.98409	5.94626	6.63151	6.20816	5.91558
FBgn0034398		290.596	289.697	287.578	384.277	291.531	308.126	322.121
FBgn0038274		46.1354	40.931	43.8562	42.8752	42.2562	38.0297	40.9889
FBgn0034399		101.965	124.394	112.505	126.82	100.054	91.9765	92.2082
FBgn0050110		0	0.0402554	0	0	0	0.0302286	0
FBgn0038275		62.6459	59.2052	59.4276	65.9863	67.2533	66.3164	62.6924
FBgn0038277		2033.97	2018.54	2128.66	1807.6	2696.31	2320.27	2588.81
FBgn0011260		74.1735	83.7092	80.6368	106.333	51.5887	65.0562	60.6152
FBgn0050114		0	0	0	0	0	0	0
FBgn0038279		6.57711	6.48331	6.92041	6.65781	4.66302	5.01324	4.23424
FBgn0050115		5.84162	5.69682	5.40911	3.02561	3.66806	3.84488	3.30506
FBgn0030960		24.4838	26.1621	25.5387	23.0362	21.8013	21.6136	21.8402
FBgn0030961		0.0673167	0.085721	0.0690908	0.0839276	0.1092	0.0643697	0.137602
FBgn0051901		1.99911	1.41672	2.31942	1.61	1.65671	1.19682	1.50031
FBgn0050118		142.718	131.171	137.033	154.834	79.6531	84.259	83.0643
FBgn0051902		0	0	0	0	0	0.0523299	0
FBgn0030963		64.6698	60.0534	56.43	51.7696	63.2469	56.5254	61.7741
FBgn0030964		43.6398	44.3941	43.7857	41.8279	27.8595	29.8192	29.3828
FBgn0033060		14.5568	14.4884	15.2839	15.4965	16.6925	16.5754	17.9369
FBgn0033061		0.480044	0.355658	0.223952	0.404181	0.601739	0.567526	0.396467
FBgn0030966		26.8654	21.2173	26.3968	27.471	23.0302	24.7319	26.2817
FBgn0054001		28.0121	31.0431	27.3906	36.0031	39.3003	43.0021	36.4535
FBgn0033062		155.962	150.919	156.38	164.795	94.2212	104.074	95.6898
FBgn0054002		0.308858	0.70794	0.633996	0.440082	0.187885	0.649741	0.140297
FBgn0051907		0.403415	0.645804	0.354897	0.041058	0.56166	0.0881723	0.435532
FBgn0033063		2.06259	2.1012	1.98464	0.183682	0.613999	0.887531	0.589479
FBgn0030968		19.0332	18.3323	15.317	15.1778	15.1745	13.9106	17.3896
FBgn0016930		29.1659	29.9627	32.3145	32.11	20.7346	26.435	23.4767
FBgn0054003		0.55076	0.561069	1.41319	0.588569	2.01023	1.0533	1.00072
FBgn0051908		62.3844	69.1253	64.6786	75.2023	49.6994	53.395	52.4021
FBgn0030969		54.0459	50.0705	47.1799	60.4068	49.9511	52.8783	54.4814
FBgn0002531		0.0846274	0	0	0	0.205922	0.163384	0
FBgn0051909		0	0.42043	0.305693	0	0.167371	0.473564	0
FBgn0033065		0.358766	0.31327	0.315618	0.328624	0.665125	0.352861	0.325934
FBgn0054005		0.507432	0.34462	0	0.120504	0.137191	0.1134	0.460995
FBgn0002533		0	0	0	0	0	0.329654	0.182971
FBgn0034850		0	0.314784	0	0	0	0	0
FBgn0033067		0	0	0	0	0.15117	0	0
FBgn0002534		0.23407	0	0	0	0	0	0
FBgn0054007		0	0	0	0	0	0.416637	0
FBgn0002535		0	0	0	0.159614	0	0	0
FBgn0054008		25.7056	25.5816	23.5222	23.2118	28.8413	29.0495	27.1919
FBgn0033069		0	0	0.0885998	0	0.140035	0.330182	0.15685
FBgn0034853		54.7006	57.4689	54.566	51	37.4143	40.7431	39.7133
FBgn0034854		44.8546	41.3369	44.5301	35.4485	37.3665	36.8725	37.0911
FBgn0038730		0.576274	0.168541	0.739326	0.711135	0.347018	0.476858	0.454434
FBgn0024330		26.4034	31.5411	31.0807	40.1132	25.3087	27.5069	24.8506
FBgn0052772		56.5819	66.1879	63.7005	67.55	46.4888	51.3985	50.9573
FBgn0038731		0	0.176107	0	0.146012	0.240243	0.372727	0.158334
FBgn0034856		3.84893	2.81003	3.42365	1.73667	2.5495	1.61939	2.97219
FBgn0038732		0	0	0	0	0	0	0
FBgn0024332		131.63	125.649	120.943	114.91	118.341	110.303	121.273
FBgn0260499		0.406933	0.553661	0.325391	0.387268	0.293883	0.311817	0.328616
FBgn0052774		26.3589	29.8522	37.9542	37.9362	4.7771	5.05945	4.38584
FBgn0038733		0.230289	0.4692	0.236358	0.0656263	0.149429	0.422799	0.209215
FBgn0034858		72.1881	63.3337	69.2181	69.196	66.7702	62.6731	66.8243
FBgn0038734		0.179486	0.0457114	0.368432	0.223776	0.109185	0.24028	0.203826
FBgn0034859		11.9319	10.7391	11.097	10.1925	7.67338	7.47341	9.41917
FBgn0038735		17.0698	16.7083	18.1705	18.5293	15.8805	16.822	16.2081
FBgn0038737		31.925	28.8766	28.925	29.3536	25.2484	28.5059	27.1099
